"","Intended Use","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"194","RT",10.29,21.67,36.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","SD",8046198.68,6218020.42,6127404.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","SE",6648.72,6451.95,3580.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Seed",NA,NA,NA,6764295.74,6871740.43,6107917.92,4190907.646,4329925.8428,4499415.2524,4341428.1419,4374312.3751,4429217.5533,4045965.8231
"198","Sets",NA,NA,NA,3844.5,3866.79,3640.02,1233.47,1791.39,2400.66,2701.26,2241.144,3601.762,3715.89
"199","SG",113163.9,65524.16,166691.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Silage",NA,NA,NA,296515.91,319899.04,367170.1,338335.18,262269.66,230211.29,329121.72,4226014.5618,4508214.0881,4180998.3566
"201","SO",299756.15,265864.9,329008.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Sod",NA,NA,NA,287368.61,284044.25,274263.88,294447.16,297538.709,299960.895,312124.1546,330327.253,323931.723,329723.6869
"203","Table",NA,NA,NA,1579602.2,1333640.1,1963440.64,2100877.84,2360248.4,2629216.52,2598344.68,2577687.848,2812593.914,2396403.96
"204","TB",558974.97,571026.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",NA,37140785.46,38945702.31,50062864.9,46225454.4,71192817.81,70628288.08,61389526.0256,62794384.3225,66119198.1387,66538982.6493,NA,NA,NA
